"start","variable","value"
2021-01-04,"anxiety",0.0653224764475525
2021-01-11,"anxiety",0.0925461022351722
2021-01-18,"anxiety",0.0846954522976726
2021-01-25,"anxiety",0.0491226945378732
2020-01-04,"anxiety",-0.118703113660838
2020-01-11,"anxiety",-0.0244515821077781
2020-01-18,"anxiety",-0.154436466159777
2020-01-25,"anxiety",-0.039699463922906
2020-02-01,"anxiety",-0.0663828435778616
2020-02-08,"anxiety",-0.0476001195757633
2020-02-15,"anxiety",-0.0671751314231257
2020-02-22,"anxiety",-0.0660839604866547
2020-02-29,"anxiety",0.279430629127387
2020-03-07,"anxiety",0.196746801213495
2020-03-14,"anxiety",0.266797828763888
2020-03-21,"anxiety",0.109150656001492
2020-03-28,"anxiety",0.0341439040407093
2020-04-04,"anxiety",0.189297137844629
2020-04-11,"anxiety",-0.0223498153369891
2020-04-18,"anxiety",0.0903477388812962
2020-04-25,"anxiety",0.120849444500291
2020-05-02,"anxiety",0.136248135227706
2020-05-09,"anxiety",-0.013702303249869
2020-05-16,"anxiety",-0.00283058962291675
2020-05-23,"anxiety",-0.0893420484420542
2020-05-30,"anxiety",0.0172427601012036
2020-06-06,"anxiety",0.0433620043345075
2020-06-13,"anxiety",-0.134250975517888
2020-06-20,"anxiety",-0.050845191748983
2020-06-27,"anxiety",-0.0949438478211034
2020-07-04,"anxiety",-0.0985131742939457
2020-07-11,"anxiety",0.0171620834471693
2020-07-18,"anxiety",-0.0665300783459868
2020-07-25,"anxiety",-0.0620296516996673
2020-08-01,"anxiety",-0.0832347475201601
2020-08-08,"anxiety",-0.0667836320809894
2020-08-15,"anxiety",0.08348706547658
2020-08-22,"anxiety",0.0817817178509956
2020-08-29,"anxiety",5.18407887263612e-05
2020-09-05,"anxiety",0.00974000493483905
2020-09-12,"anxiety",0.146963642007929
2020-09-19,"anxiety",0.135950209120977
2020-09-26,"anxiety",0.0295270623948796
2020-10-03,"anxiety",0.166193878812349
2020-10-10,"anxiety",0.13881442685433
2020-10-17,"anxiety",0.260654715243363
2020-10-24,"anxiety",0.066090326612728
2020-10-31,"anxiety",0.170192726267263
2020-11-07,"anxiety",0.176052080691945
2020-11-14,"anxiety",0.0560561392239448
2020-11-21,"anxiety",-0.0274599053657231
2020-11-28,"anxiety",0.166995186439978
2020-12-05,"anxiety",0.131649814697216
2020-12-12,"anxiety",0.0878050146862423
2020-12-19,"anxiety",0.231179180049157
2020-12-26,"anxiety",-0.0187214505062507
2021-01-02,"anxiety",0.0491423777724227
2021-01-09,"anxiety",0.124635165983178
2021-01-16,"anxiety",0.0738668072246212
2021-01-23,"anxiety",0.297587896937193
2020-01-05,"anxiety",0.01947927773126
2020-01-12,"anxiety",-0.10076816358677
2020-01-19,"anxiety",-0.0368804112553503
2020-01-26,"anxiety",0.0499823680815273
2020-02-02,"anxiety",-0.169114545615192
2020-02-09,"anxiety",-0.0466696771641669
2020-02-16,"anxiety",-0.0379798978440686
2020-02-23,"anxiety",0.18719800630801
2020-03-01,"anxiety",0.262146288078769
2020-03-08,"anxiety",0.159623885425666
2020-03-15,"anxiety",0.431912785079768
2020-03-22,"anxiety",0.150932241156173
2020-03-29,"anxiety",0.0292266329353634
2020-04-05,"anxiety",0.223077943835757
2020-04-12,"anxiety",-0.0333173272316526
2020-04-19,"anxiety",0.0695141057601479
2020-04-26,"anxiety",0.0947704804158542
2020-05-03,"anxiety",0.11739291315857
2020-05-10,"anxiety",0.0746344479769118
2020-05-17,"anxiety",0.099699384929171
2020-05-24,"anxiety",-0.103838120491475
2020-05-31,"anxiety",0.167639106516189
2020-06-07,"anxiety",0.0399232805041323
2020-06-14,"anxiety",-0.0867502370319216
